Date,Open,High,Low,Close,Adj Close,Volume
2020-07-23,17.360001,17.910000,17.360001,17.850000,16.763151,5848904
2020-07-24,17.900000,17.900000,17.370001,17.780001,16.697416,6342828
2020-07-27,17.740000,17.740000,16.990000,17.090000,16.049427,8010605
2020-07-28,17.170000,17.530001,17.110001,17.459999,16.396898,5331785
2020-07-29,17.459999,17.760000,17.200001,17.540001,16.472031,4492508
2020-07-30,17.500000,17.900000,17.370001,17.820000,16.734980,4537957
2020-07-31,17.850000,18.139999,17.500000,17.950001,16.857065,9171895
2020-08-03,18.000000,18.059999,17.700001,18.020000,16.922802,5648988
2020-08-04,18.110001,18.469999,17.709999,18.430000,17.307838,6603480
2020-08-05,18.469999,18.540001,18.280001,18.440001,17.317230,13359140
2020-08-06,18.420000,18.420000,18.070000,18.299999,17.451668,6303389
2020-08-07,18.340000,18.440001,18.080000,18.209999,17.365839,7000366
2020-08-10,18.290001,18.570000,18.209999,18.520000,17.661470,5109642
2020-08-11,18.600000,18.940001,18.299999,18.730000,17.861734,9110828
2020-08-12,18.820000,18.980000,18.820000,18.920000,18.042929,8636470
2020-08-13,18.920000,19.260000,18.770000,18.910000,18.033392,8877645
2020-08-14,18.910000,19.190001,18.910000,19.020000,18.138292,5563552
2020-08-17,19.049999,19.309999,18.799999,18.940001,18.061998,7867239
2020-08-18,18.860001,18.870001,18.450001,18.510000,17.651932,6675371
2020-08-19,18.570000,18.629999,17.889999,17.959999,17.127430,8024566
2020-08-20,17.969999,18.000000,16.799999,17.360001,16.555244,6131732
2020-08-21,17.389999,17.570000,17.170000,17.510000,16.698290,12275204
2020-08-24,17.510000,17.660000,17.410000,17.559999,16.745972,7136973
2020-08-25,17.700001,17.760000,17.420000,17.629999,16.812725,10913976
2020-08-26,17.770000,17.770000,17.459999,17.629999,16.812725,3159437
2020-08-27,17.650000,17.850000,17.200001,17.530001,16.717363,8448810
2020-08-28,17.530001,17.770000,17.260000,17.379999,16.574318,6996560
2020-08-31,17.379999,17.500000,16.940001,17.080000,16.288225,28364808
2020-09-01,17.129999,17.549999,17.100000,17.400000,16.593390,6986306
2020-09-02,17.400000,17.469999,17.010000,17.100000,16.307299,7868213
2020-09-03,17.059999,17.090000,16.580000,16.639999,15.868621,17946063
2020-09-04,16.950001,16.950001,16.200001,16.450001,15.687430,15382399
2020-09-07,16.799999,17.360001,16.510000,16.920000,16.135641,1239930
2020-09-08,17.000000,17.000000,16.379999,16.469999,15.706502,5025530
2020-09-09,16.490000,17.100000,16.299999,16.590000,15.820939,9832367
2020-09-10,16.670000,16.670000,16.110001,16.330000,15.572991,8461545
2020-09-11,16.340000,16.480000,16.080000,16.320000,15.563456,12680366
2020-09-14,16.450001,16.920000,16.270000,16.670000,15.897230,9704663
2020-09-15,16.760000,16.870001,16.510000,16.610001,15.840012,8592743
2020-09-17,16.610001,16.620001,16.110001,16.389999,15.630210,99345276
2020-09-18,16.410000,16.440001,16.219999,16.370001,15.611138,22557768
2020-09-21,16.290001,16.330000,16.020000,16.250000,15.496701,4542285
2020-09-22,16.340000,16.549999,16.200001,16.440001,15.677893,16570285
2020-09-23,16.469999,16.590000,16.020000,16.110001,15.363192,6645964
2020-09-24,16.120001,17.110001,16.120001,16.850000,16.068886,12127475
2020-09-25,17.000000,17.400000,16.540001,17.209999,16.412197,6353980
2020-09-28,17.299999,17.600000,17.160000,17.200001,16.402660,8782157
2020-09-29,17.200001,17.410000,16.930000,17.299999,16.498024,7879976
2020-09-30,17.500000,17.500000,17.309999,17.490000,16.679218,12438228
2020-10-01,17.490000,17.500000,17.160000,17.209999,16.412197,3188251
2020-10-02,17.170000,17.510000,16.700001,17.400000,16.593390,2671731
